"영화명","누적매출액","누적관객수","스크린수","상영횟수","개봉일","배급사","등급","장르","감독","배우","제작사","개봉일스크린수","개봉일관객수","스크린수증가율"
"뽀로로 극장판 컴퓨터 왕국 대모험",3296535700,446054,544,12960,"2015-12-10","(주)넥스트엔터테인먼트월드(NEW)","전체관람가","애니메이션","박영균","이선,이미자,함수정,홍소영,정미숙,김서영,김환진,엄상현,홍범기","(주)오콘",363,10545,49.862258953168
"사냥",4912658515,645922,696,28862,"2016-06-29","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","액션","이우철","안성기,신재훈,오주환,조진웅,이상화,한예리,권율,한동원,손현주,박병은,예수정,차순배,허준석,권기하,조대희,심이영","(주)빅스톤픽쳐스",696,161021,0
"사도",48846045501,6247651,1210,124263,"2015-09-16","(주)쇼박스","12세이상관람가","사극","이준익","송강호,유아인,문근영,전혜진,김해숙,박원상,진지희,박소담,서예지,이효제,곽동호,최희영,정호,이현철,김상훈,이민혜,김경원,김대환,김민규,양지혜,안현숙,김우진,이대연,최덕문,정석용,최민철,안정우,조승연,차순배,박명신,박윤호,권범택,김서원,안태훈","(주)타이거픽쳐스",1123,250237,7.74710596616207
"사라진 밤",10697981316,1315726,925,60087,"2018-03-07","(주)키다리이엔티","15세이상관람가","스릴러","이창희","김상경,김강우,김희애,서현우,이민지,이윤재,이지훈,김지영,최윤석,류경수,현봉식,경수진,황재열,김희상,복세훈","(주)싸이더스,(주)엠씨엠씨,(주)더블앤조이픽쳐스",697,57161,32.7116212338594
"사랑",13446137500,2023174,381,54789,"2007-09-19","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","멜로/로맨스,액션","곽경택","주진모,박시연,김민준,김혜정,최지은,임성규,주현,박진우,최성우,박시완,김광규,임현성,손희순,진현우","(주)진인사필름,(주)태원엔터테인먼트",318,33770,19.811320754717
"사랑 따윈 필요 없어",2564487300,425358,274,15178,"2006-11-09","(주)쇼박스","15세관람가","멜로/로맨스,드라마","이철하","문근영,김주혁,도지원,이기영,조상건,진구,서현진,심정수,박현진,박형준,노현정,한정희,서은영,채경화,유경희,유혜정,이시우,이영지,이지숙,이채윤,김준엽,조재윤,정석원,서동수","(주)싸이더스,판커뮤니케이션,씨네클릭 아시아(팬텀)",258,41945,6.2015503875969
"사랑방 선수와 어머니",3286151000,509235,267,19700,"2007-08-22","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","코미디","임영성","정준호,김원희,고은아,이승희,김지영,정혜영,신은경,박정우,고진선,원혜정,김인선,정다운,정수경,박슬아,김주옥,이인화,이한위,김해곤,김나영,이정아","(주)태원엔터테인먼트,(주)아이비픽쳐스,(주)올리브나인",255,39063,2570
"사랑을 놓치다",2961381000,468184,146,10662,"2006-01-26","(주)시네마서비스","15세관람가","멜로/로맨스,드라마","추창민","설경구,송윤아,김동영,장항선,전배수,이기우,황석정,고규필,박혁민","(주)시네마서비스",144,32844,1.38888888888889
"사랑이 무서워",3020062500,402876,290,21341,"2011-03-10","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","코미디,멜로/로맨스","정우철","임창정,김규리,손현우,이미소,성지혜,최효영,서정,정경미,윤지민,안석환,강성진,김태훈,백현주,최교식,이은채","(주)위픽쳐스,(주)디씨지플러스",270,18450,7.40740740740741
"사랑하기 때문에",2673489440,340936,542,15294,"2017-01-04","(주)넥스트엔터테인먼트월드(NEW)","12세이상관람가","코미디,멜로/로맨스","주지홍","차태현,김유정,서현진,박근형,선우용녀,성동일,배성우,임주환,김윤혜,오나라,김사희,장도윤,김강훈,박예진,이창희,박지수,박지윤,박지윤,정보연,이재우,김정우,박미현,조달환,김선일,옥자연,고유","(주)에이디사공육",496,44941,9.2741935483871
"사랑해, 말순씨",2191787000,349118,170,12364,"2005-11-03","쇼이스트(주)","12세관람가","드라마","박흥식","김동영,이재응,문소리,김은영,강경섭,손봉기,허명행,최준,안하영,하지원,조현철,문성해,김대홍,유승우,김인혁,전승훈,윤여준,임대환,박상원,정용욱,정승규,이상협,이준석,김종찬,이한위,김봉근,신동환,정다빈,이칸희,박명신,전수지","블루스톰(주)",148,22898,14.8648648648649
"사바하",20007508194,2398519,1174,78096,"2019-02-20","(주)씨제이이엔엠","15세이상관람가","미스터리,스릴러","장재현","이정재,박정민,이재인,유지태,정진영,진선규,이다윗,배해선,차래형,황정민,김근영,윤경호,지승현,이항나,정동환,문창길,오윤홍,문숙,강나영,김두은,김유린,김지후,조수지,신보경,정병두,이재순,배선엽,곽영신,유승희,장지민,정혜은,강우진,윤창희,김근우,이치민,하승협,권해성,손병우,박상현,김찬빈,한유한,이월진,박재만,박영래,이광석,한형주,류현주,손연서,유선이,강민재,남도현,강성철,강지현,류경인,권귀빈,박수미,권오준,민설애,김가은,김금순,박종범,설시연,박지윤,박지환,박진영,박훈,김명희,백승철,신유진,안성진,안현빈,김범수,오누리,노유림,옥영진,옥주리,김소숙,강민지,임현주,이상우,정재은,임효진,김현정,이주실,허다정,이준구,정한호,장영애,권태호,김홍파,김정훈,조한준,이문석,이수정,김승현,황인준,정미경,조한아름,이건창,김지수,진선규,정서인,차순배,권해성,이대현,김진옥,표성수,표예리,한다경,이한울,이한울,김태윤,이은주,김유나,이재진,장희욱,박지윤,박규범","(주)외유내강,(주)필름케이",1162,184517,1.03270223752151
"사생결단",10934307100,1724709,288,33257,"2006-04-27","(주)씨제이이엔엠","18세관람가","액션","최호","류승범,황정민,이수현,김혜정,박영수,추자현,민도기,신영주,김훈희,조원식,박정률,김의석,임효우,변미선,김근형,김성기,김인식,박병철,장진호,전성길,이성만,염지선,양진철,양정렬,정우,이얼,신정근,최진호,유재명,장준녕,김영웅","(주)엠케이픽처스",258,91041,11.6279069767442
"사이코메트리",3978495129,534273,429,23487,"2013-03-07","(주)씨제이이엔엠","청소년관람불가","미스터리","권호영","김강우,김범,박혁권,이준혁,서현철,박성웅,박병렬,박은영,서왕석,박주형,정윤선,유재상,윤박,서영화,유승목,이솜,오희준,손산,박성연,정종열,최교식,김기천,박서연","(주)엠픽처스,(주)파워이엔티,㈜게이트픽쳐스",391,46160,9.71867007672634
"사자",12931566145,1611163,1405,47683,"2019-07-31","롯데컬처웍스(주)롯데엔터테인먼트","15세이상관람가","미스터리,액션,판타지,공포(호러)","김주환","박서준,안성기,우도환,이승준,최우식,박진주,박지현,정지훈,이승희,심희섭,이찬유,김시은,김선민,정의순,김범수,박재홍,차시원,류경수,서정연,장세아,배현성,이설,이수인,이정현,김근영,최홍일,한혜지,고현경,박소은,민설애,박재홍,김기범,설윤지,박지열,박지헌,김대한,손우진,김도율,박하영,배향,백길찬,신안진,신안진,김민지,유호한,오자훈,김상현,윤재인,강민경,김현준,김현준,이주원,장효석,김혜정,김효경,홍준표,전주희,김종완,정다은,율찬,최지민,최지혜,김한나,김예지,김설호,이영훈,임용순,김종균,조은형,조태관,한주아,우연희,정경천,신호용,신민호,정태찬,최성아,이예린,손병일,배인호,배한용,장태양,백낙순,홍승범,한다미,황수인","(주)키이스트",1405,380092,0
"살인의뢰",6986456737,855980,646,35244,"2015-03-12","씨네그루(주)다우기술","청소년관람불가","범죄,스릴러","손용호","김상경,김성균,박성웅,윤승아,조재윤,김의성,기주봉,홍성덕,오대환,이정훈,이진수,박소희,박일우,박혜미,송영창,태욱,김덕순,이다희,이상인,이용출,임종윤,김나연,강석원","(주)미인픽쳐스",481,80774,34.3035343035343
"살인자의 기억법",21375287492,2658589,1064,88686,"2017-09-06","(주)쇼박스","15세이상관람가","범죄,스릴러","원신연","설경구,김남길,설현,오달수,이현명,장정윤,전동성,전동성,전동성,전승표,백연정,백연정,정동석,정동석,유지현,윤선용,추동우,함연주,이종건,박상욱,박상운,전승표,김정영,이병준,김혜윤,최유송,김경민,정인겸,엄지만","(주)쇼박스,(주)더블유픽처스,(주)그린피쉬,영화사 이창",884,143580,20.3619909502262
"상류사회",6313416163,768442,867,41725,"2018-08-29","롯데컬처웍스(주)롯데엔터테인먼트","청소년관람불가","드라마","변혁","신현숙,박해일,수애,윤제문,라미란,이진욱,김규선,한주영,김강우,이강진,이수민,이수일,이수정,김정현,백승환,이정철,김준희,이현승,김지현,김근영,김진성,김진호,김태희,김현미,양정인,김형석,여상은,윤정희,문형수,임용순,박성훈,박아영,장혁진,정승준,박주희,정자영,박지원,정현석,조준희,김경민,김근영,김다솜,김다정,김대근,김동욱,김디나,최정윤,한지은,한희정,한희정,황지현,김미희,김선희,김시원,김성준,김건우,강기영,주예지,김승훈,이홍내,남기애,백현진,한이진,김성준,김상욱","(주)하이브미디어코프",867,131795,0
"상사부일체",5807823500,883965,313,28902,"2007-09-19","이십세기폭스코리아(주)","15세이상관람가","코미디,액션","심승보","손창민,박상면,김성민,강경덕,최정림,조은선,안몽식,조지훈,전창걸,김남준,서지혜,문호진,김기숙,박경숙,공정환,박동현,박미나,윤미라,장은정,권미경,임성준,이호연,이수형,장규성,김순남,이영신,양지은,양영준,이치승,김현철,이성재,최진호,김기현,이승신,지대한,공정환,이언수","(주)두손시네마",275,21190,13.8181818181818
"상의원",6204129964,790370,466,17124,"2014-12-24","(주)쇼박스,(주)와우픽쳐스","15세이상관람가","사극,드라마","이원석","홍수민,한석규,고수,박신혜,유연석,김수웅,김주훈,김지현,김현정,박병은,박소담,배성우,한지은,김재화,이유비,최희진,신소율,김종언,전소니,조달환,허성태,주예지,김동휘,고유","(주)영화사비단길,상의원문화산업전문(유)",466,108567,0
"새드무비",5628200500,902077,262,21672,"2005-10-20","롯데쇼핑㈜롯데엔터테인먼트,아이러브시네마","12세관람가","드라마","권종관","신민아,염정아,임수정,정우성,차태현,조성현,김유경,심지연,조태현,윤석진,오용택,전경주,윤현진,이정룡,김우철,임근아,이기우,안길강,최종률,조영규,권유준","(주)아이필름홀딩스",245,69339,6.93877551020408
"색즉시공 시즌2",13466476000,2002423,390,41017,"2007-12-12","CJ ENM","청소년관람불가","코미디","윤태윤","임창정,송지효,최성국,신이,김태호,김형일,정혜윤,홍지영,박민아,양현주,이진운,김정현,이상윤,박영수,김정민,송재룡","(주)두사부필름",370,62084,5.40540540540541
"생일",9885147340,1197565,878,71797,"2019-04-03","(주)넥스트엔터테인먼트월드(NEW)","전체관람가","드라마","이종언","설경구,박가영,전도연,김보민,윤찬영,박종환,김형주,성유빈,탕준상,신문성,이봉련,김수진,안다정,정종준,박미현,곽민규,박세정,박윤호,김경준,서석규,김계선,선욱현,신미영,신안진,신운섭,신주원,김민재,유지현,염선식,윤미경,옥주리,김수연,임혜진,김현정,이상홍,김재범,조미라,조영래,김종훈,조재현,이광우,최현진,최혜지,김진옥,이시형,김학충,한승우,이현우,조하비,맹진희,진명룡,유이찬,민구경,윤영,신동력,최은후,엄대현,최해솔,방재호,연승빈,박민규,석예린,오태남,성경구,한도형,함희수,허남일,허진성,김현,권잎새,한대훈,김종태","나우필름(주),(주)영화사레드피터,파인하우스필름(주)",852,45516,3.05164319248826
"서부전선",4751661400,609063,509,18935,"2015-09-24","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","전쟁,드라마","천성일","설경구,여진구,이경영,정성화,정인기,김원해,정석원,한민수,조상원,이찬유,김선영,이은형,이소명,유순철,김동규,오성택,김명환,김민지,김종석,김지영,박시연,박아형,박지연,박지원,최호중,김시은,조희봉,정재훈,권오상,김태훈,곽진무,이수빈,감승민,이상희,양정인,김정한","(주)하리마오픽쳐스",499,47432,2.00400801603206
"서양 골동 양과자점 앤티크",7420399500,1181322,436,42157,"2008-11-13","오퍼스픽쳐스(유),(주)쇼박스","15세이상관람가","드라마","민규동","주지훈,김재욱,유아인,최지호,탁트인,김라희,조수빈,박찬형,이상하,유정훈,이휘향,문희경,서영희,김규리,이영진,김창완,박준면,조희봉,이주실,남명렬,권태원,이정민,박상훈","영화사 집,(주)수필름",369,122963,18.1571815718157
"석조저택 살인사건",2829106886,353517,539,17925,"2017-05-09","(주)키다리이엔티","15세이상관람가","스릴러","정식,김휘","고수,황인아,김주혁,문성근,박성웅,임화영,임태훈,전민,신영진,신영진,정우식,정유빈,조원진,조유찬,조한별,이대영,이자은,이주연,이주연,이주현,홍의정,황재욱,고민우,한지은,고우림,이신성,배유리,김시우,정종우,임호,이정섭","주식회사 영화사다",493,84068,9.33062880324544
"설국열차",67012235200,9350323,1128,124858,"2013-08-01","(주)씨제이이엔엠","15세이상관람가","SF,액션","봉준호","크리스 에반스,송강호,에드 해리스,존 허트,틸다 스윈튼,제이미 벨,옥타비아 스펜서,이완 브렘너,고아성,알리슨 필,허찬","(주)모호필름,오퍼스픽쳐스(유)",936,601029,20.5128205128205
"성난 변호사",8723650039,1128288,607,36990,"2015-10-08","(주)씨제이이엔엠","15세이상관람가","범죄,액션","허종호","오상철,이선균,김고은,임원희,장현성,최재웅,김윤혜,홍성덕,배유람,권귀덕,노경섭,노경섭,정진근,장명진,이확광,이형섭,이은택,이수민,이기창,유영진,김현정,노영화,송원종,박지영,서현우,박연우,주석태,민진웅,한성천,손영순,손성찬,정종열,권범택,이나영,이동진","(주)씨제이이엔엠,(주)영화사 빛나는 제국,우수영화사",607,89466,0
"성난황소",13236490737,1593386,1010,48932,"2018-11-22","(주)쇼박스","15세이상관람가","범죄,액션","김민호","마동석,송지효,김성오,박지환,이동진,박혜림,김재철,이연주,신수경,이창훈,김흥태,노성후,장혁진,박지훈,박진성,김산,김민재,김수진,김용빈,김수진,이성우,배진웅,정인기,최홍일,서문호,황재열,이세영","주식회사 플러스미디어엔터테인먼트,(주)비에이엔터테인먼트",978,135764,3.2719836400818
"세븐 데이즈",13720377000,2048339,305,47249,"2007-11-14","(주)프라임엔터테인먼트","청소년관람불가","스릴러,범죄","원신연","김윤진,김미숙,박희순,최명수,장항선,양진우,정동환,이도겸,조덕현,서동수,신현종,길해연,강나일,신영훈,김남원,김노경,유성철,윤재웅,임경진,오현철,김정필,신성일,오광록,옥지영,권병길,진용욱,정종열,곽진석","(주)영화사윤앤준",279,30308,9.31899641577061
"세상에서 가장 아름다운 이별",2297005000,317013,340,17458,"2011-04-20","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","드라마","민규동","김갑수,서영희,배종옥,조성훈,김유나,박혜선,박혁권,정규상,김보민,최린,박설희,이영숙,윤혜진,박근록,문희경,박희본,이대연,오나라,이솜,김선일,김도영,박지연,윤경호","(주)수필름",324,9195,4.93827160493827
"소녀괴담",3554806054,481696,455,19432,"2014-07-02","(주)리틀빅픽쳐스","15세이상관람가","미스터리,공포(호러)","오인천","강하늘,김소은,김정태,한혜린,박두식,이아현,서경배,임미라,임승현,전성혁,전소연,정윤선,권용진,이상헌,이슬아,이승현,이정철,김상혁,김영미,김욱,김유영,박선호,김재화,이동훈,박충선,주민하,이봄,한태린,경수진,이승민,박근철","(주)고스트픽처스,(주)주피터필름",325,24638,40
"소수의견",2892681205,383582,398,16273,"2015-06-24","(주)시네마서비스","15세이상관람가","드라마","김성제","윤계상,유해진,김옥빈,이경영,장광,권해효,손아람,박주형,이은미,이은우,김의성,조복래,김종수,박충선,박해수,장리우,김태준,오연아,홍인,신정섭","(주)하리마오픽쳐스",378,34334,5.29100529100529
"소원",18529880600,2711086,651,72330,"2013-10-02","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","드라마","이준익","설경구,엄지원,이레,김해숙,김상호,라미란,양진성,이승택,하진,조복래,안세하,서현우,권태원,강신철,김미경,정민성","(주)필름모멘텀",609,91705,6.89655172413793
"손님",6385937880,828025,634,23404,"2015-07-09","(주)씨제이이엔엠","15세이상관람가","판타지,공포(호러)","김광태","류승룡,이성민,천우희,이준,정경호,김정영,박시연,이민지,백승호,유재현,이서연,이승준,전국환,정준원,손산,한이진,김영선","(주)유비유필름",493,144967,28.6004056795132
"수상한 고객들",7953428000,1059350,411,33930,"2011-04-14","(주)씨제이이엔엠","15세이상관람가","코미디,드라마","조진모","윤하,류승범,박철민,정선경,성동일,강민우,신채원,채빈,홍소희,진선미,김보슬,이지은,유성협,박매희,박상철,정성하,김철준,이철민,최정우,김병춘,안길강,장준녕,정만식,최일화,연송하,서지혜,양조아,손병욱,강승연","(주)메이스엔터테인먼트",358,37976,14.804469273743
"수상한 그녀",62710880849,8658800,1027,136985,"2014-01-22","(주)씨제이이엔엠","15세이상관람가","드라마","황동혁","심은경,나문희,박인환,성동일,이진욱,김현숙,황정민,김슬기,박형우,신재훈,박인환,이태식,박재홍,서진호,양태규,정상원,정은임,정종혁,조명행,진영,한상경,한흥석,김경아,이주희,김동욱,김동희,김민준,김선하,김순찬,김영웅,김용진,김재섭,김정원,박선희,한지은,김수현,황영희,장광,전우재,강필선,김가희,황승언,임현성,정인기,이장유,하연주,박혜진,김남순,조혜선","(주)예인플러스엔터테인먼트,아이앤코스모스(주)시네와이즈필름",577,142843,77.9896013864818
"숙명",5680873500,846903,340,29178,"2008-03-20","CJ ENM","청소년관람불가","드라마,액션","김해곤","송승헌,권상우,김인권,박한별,임정희,박유택,최재환,노남석,이명호,정우,이승준,이민아,지성","엠케이디케이",309,72421,10.0323624595469
"순수의 시대",3743046828,470308,546,23630,"2015-03-05","(주)씨제이이엔엠","청소년관람불가","사극,드라마","안상훈","신하균,장혁,강한나,강하늘,박혜준,정현국,권승구,서지오,권지훈,천준호,최아람,양영조,김경애,오하늬,윤민규,이광기,김민수,이상민,이수민,손병호,박갑진,최무성,기주봉,이재용,문영동,조희봉,지성원,성유빈,정아미,김사희,임영우,이형훈,김다예","(주)화인웍스,(주)키메이커",512,61795,6.640625
"순정만화",4682641000,731706,368,26483,"2008-11-27","CJ ENM","12세이상관람가","멜로/로맨스,코미디","류장하","유지태,이연희,채정안,강인,최수영,황석정,최희용,황인준,나수윤,최민호,박보경,김호연,박서연,이선주,김태훈,김지훈,김해자,신동우,이민선,이주실,박보경","㈜렛츠필름,영화사청어람(주)",336,74041,9.52380952380952
"숨바꼭질",39602995500,5604106,779,88064,"2013-08-14","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","스릴러","허정","손현주,문정희,전미선,장채린,김수안,김원해,노수산나,정준원,김근영,성유빈,주석태,정민성,김혜윤,김자영","(주)드림캡쳐",623,293917,25.0401284109149
"슈퍼맨이었던 사나이",3642192500,550284,386,22074,"2008-01-31","CJ ENM","전체관람가","드라마,코미디","정윤철","홍희자,황정민,전지현,진지희,서영화,최우혁,조상현,김기석,이상엽,김한길,최현,김바다,유주영,양동혁,박병렬,임승혁,임임남,최아람,박수현,박진우,박경순,김태성,박현영,선우선,조희봉,김도영,우기홍,손석배,강애심,전수지,박혜진,박현우","CJ ENM",349,46803,10.6017191977077
"슈퍼스타 감사용",4073017000,627199,128,15185,"2004-09-17","CJ ENM","전체관람가","드라마","김종현","이범수,공유,윤진서,하정우,이명수,이혁재,송민규,이대희,정석원,김상현,최봉석,이성덕,김철용,예민정,이정준,정준하,장항선,장소연,이태성,박효주,조희봉,박충선,조원동,류승수,최대훈,박용우,이람,권유준","(주)싸이더스",118,23583,8.47457627118644
"스물",23563705686,3044859,926,100167,"2015-03-25","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","코미디,드라마","이병헌","김우빈,이준호,강하늘,정덕희,주창욱,권지훈,오하늬,오현경,이성두,정소민,안재홍,이유비,김의성,김종수,민지,황미영,서호철,박명신,양현민,허준석,한준우,백수희,차민지,정주연,홍완표,곽진석","(주)영화나무,(주)아이에이치큐",786,151161,17.8117048346056
"스승의 은혜",3474239000,550215,156,12244,"2006-08-03","쇼이스트(주)","18세관람가","공포(호러)","임대웅","서영희,오미희,김응수,이동규,이지현,여현수,유설아,박재희,박효준,강지연,김태호,문가영","(주)오죤필름,(주)화인웍스",148,52236,5.40540540540541
"스윙키즈",12094670292,1473125,984,42247,"2018-12-19","(주)넥스트엔터테인먼트월드(NEW)","12세이상관람가","드라마","강형철","도경수,박혜수,자레드 그라임스,오정세,김민호,강성호,고창희,김건우,김동현,김민재,김수민,김유리,김은주,김종원,김지현,김지혜,김태윤,김태형,김하늘,나경진,박상필,박준수,신지훈,안희진,이동현,이상훈,이승훈,이승훈,이재석,이정현,이태영,장지훈,전민정,전재형,최민우,송재룡,주해은,박진주,박형수,이규성,강길우,김규백,김시원,백인권,염석무,오래영,김언수,김희상,윤정로,김종태,최원,전재형,김지수,이승철","(주)안나푸르나필름",984,102502,0
"스파이",24512378305,3436012,785,72804,"2013-09-05","(주)씨제이이엔엠","15세이상관람가","액션","이승준","설경구,문소리,다니엘 헤니,고창석,한예리,라미란,서승인,이대수,이성제,최승현,오대환,이무생,강석철,김종수,조영진,김소진,차순배,서현우,이나라,박지연,정인기,한이진,양도현,김송일","(주)제이케이필름,(주)씨제이이엔엠",695,133131,12.9496402877698
"스플릿",6102712539,758195,702,32618,"2016-11-09","오퍼스픽쳐스(유)","15세이상관람가","드라마","최국희","유지태,이정현,이다윗,정성화,김지은,김태훈,신민수,윤수현,이정주,이지수,조선묵,조수정,최승,정종열","오퍼스픽쳐스(유)",563,33686,24.6891651865009
"슬로우 비디오",8913092219,1169562,618,40665,"2014-10-02","이십세기폭스코리아(주)","12세이상관람가","드라마,코미디","김영탁","차태현,남상미,오달수,고창석,진경,유영,김강현,최성원,이준혁,이용감,이윤수,정다이,정지연,현창조,김상철,김용구,류혜영,조덕제,안길강,장성범,황승언,박명신,이화겸,곽진무,이상이,하성광,김현,한사명,조혜선","이십세기폭스 인터내셔널 프로덕션,(주)영화사AK기쁜우리젊은날",596,98673,3.69127516778524
"슬픔보다 더 슬픈 이야기",4724214000,715800,353,35118,"2009-03-11","(주)쇼박스","15세이상관람가","멜로/로맨스,드라마","원태연","권상우,이보영,이범수,손현수,김흥국,최종학,박정아,박정환,조은란,김민형,박호진,김경선,윤석원,박미애,박선영,정윤미,정종우,이승철,양혜원,이하진,이형민,신현탁,이한위,지대한,김경룡","(주)코어콘텐츠미디어",257,21017,37.3540856031128
"시간이탈자",9731838195,1202384,733,55075,"2016-04-13","(주)씨제이이엔엠","15세이상관람가","스릴러","곽재용","임수정,조정석,이진욱,정진영,이기우,온주완,전신환,이태리,김보라,임예진,정웅인,박준규,남태부,차은재,박지원,박소영,백준혁,조민영,신지수,이동희,이성준,이영민,김수영,이봄,이장유,허정도,임영우,최원","(주)씨제이이엔엠,상상필름(주)",673,155917,8.91530460624071
"시동",21236477800,2525986,1515,58603,"2019-12-18","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","드라마","최정열","마동석,박정민,정해인,염정아,최성은,김종수,이해운,성혁,손석배,홍인,이수빈,방은정,허준석,김미화,조재영,김대곤,강덕중,박성일,백주희,김자영,윤경호,고두심,김경덕,김민재,박해준,류성현,권혁범,정의욱,유수빈,조대희,차우진,조한준,이태형,승의열,류제승,임성재,김원목,곽수정,이문석,정병두,서문호,강태수,박원준,이육헌,김시원,김통령,하재열,최현종,임동민,김기태,선율우,오재세,우광제,이한결,정상균,정운,최홍락,선우,강윤혜,김보람,김해정,민서희,전경석,김주아,박혜영","(주)외유내강",1515,233340,0
"시라노; 연애조작단",19838443000,2684798,415,77739,"2010-09-16","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","멜로/로맨스,코미디","김현석","엄태웅,이민정,최다니엘,박신혜,박철민,전아민,송새벽,류현경,김유경,박은성,조재형,송다은,한대룡,서대현,김대인,김상렬,이병규,유일한,이미도,이미소,김지영,이대연,권해효,원현준,김유경","(주)명필름",339,29598,22.4188790560472
"시실리 2km",8049487000,1263196,86,16919,"2004-08-13","(주)쇼박스","15세관람가","코미디","신정원","권오중,김윤석,임은경,임창정,주진모,최원석,정소연,이재민,변희봉,우현,신이,박명신,최원영","한맥영화(주)",82,63204,4.8780487804878
"시체가 돌아왔다",7360631000,986923,435,36705,"2012-03-29","(주)씨제이이엔엠","15세이상관람가","범죄,드라마","우선호","이범수,류승범,김옥빈,정만식,유다인,신정근,고창석,정인기,오정세,배정남,최동헌,김병오,최태환,박혜인,서성만,윤석진,손종학,조민준,오창경,한이진","(주)씨네이천",402,47998,8.2089552238806
"시크릿",7957651500,1043602,408,34479,"2009-12-03","CJ ENM","청소년관람불가","스릴러,드라마,미스터리","윤재구","차승원,송윤아,류승룡,김수남,박효주,한아름,천지윤,박경소,임기홍,이엘,김주석,김준영,박진우,이철민,오정세,최성민,곽민호,김민교,송지인,예수정,정인기,이장유,최윤슬","(주)그린피쉬픽쳐스,(주)제이케이필름",391,53600,4.34782608695652
"식객",18979312500,2964374,406,67299,"2007-11-01","CJ ENM","12세이상관람가","드라마","전윤수","김강우,이하나,이태리,임원희,김성원,함영희,김효석,김명자,김미수,정진,김현구,이동근,유재영,이석은,전민우,전병문,박상인,정주현,이기석,이기준,양우진,김종대,정진,허영만,정은표,오정세,박길수,안길강,전국환,김상호,권병길,정진,이주실","쇼이스트(주)",333,60482,21.9219219219219
"식객2 : 김치전쟁",3243969500,462714,347,22753,"2010-01-28","롯데쇼핑㈜롯데엔터테인먼트","전체관람가","드라마","백동훈,김길형","김정은,진구,왕지혜,한혜숙,허동우,윤현아,박재영,이병준,박정미,황재희,한영수,문정은,이명우,김순태,김정원,오무영,전숙,이학석,이현옥,이혜림,김은숙,최종원,김영옥,박길수,김인우,신유주,리우진,이칸희,추자현,채빈,최홍일,김영웅,한사명,손희순,원근희","㈜이룸영화사",341,39297,1.75953079178886
"신과함께-인과 연",102677675409,12276350,2235,180042,"2018-08-01","롯데컬처웍스(주)롯데엔터테인먼트","12세이상관람가","판타지,드라마","김용화","하정우,주지훈,김향기,마동석,김동욱,이정재,김기태,오희준,도경수,이준혁,이수봉,이용희,이우주,이우주,이준혁,이지향,이지향,이지혜,김지안,김철구,김태준,안용우,김학충,노남석,장재욱,전종석,박지선,박찬영,정진영,정지훈,권훈,권수정,김대근,김대현,김동욱,김민석,안지호,강민,조한철,임철수,민무제,강신철,홍기준,장광,정아미,김민종,홍인,류제승,최현종,김그림,양지수,강재은,전승재,정진영","리얼라이즈픽쳐스(주),(주)덱스터스튜디오",1967,1246603,13.6248093543467
"신과함께-죄와 벌",115707627637,14411775,1912,213315,"2017-12-20","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","판타지,드라마","김용화","하정우,차태현,주지훈,김향기,마동석,김동욱,도경수,오달수,임원희,장광,정해균,김수안,이정재,김해숙,이경영,김하늘,최용훈,강소백,정수윤,이수봉,이승준,이지향,김태준,정지훈,예수정,김기태,성유빈,오희준,이준혁,유수빈,윤지온,임철수,나철,강길우,김민종,홍인,정순원,김그림,박윤호,양지수,김지나","리얼라이즈픽쳐스(주),(주)덱스터스튜디오",1538,406365,24.3172951885566
"신기전",24326346000,3728429,585,78463,"2008-09-04","CJ ENM","15세이상관람가","사극,드라마,액션,전쟁","김유진","정재영,한은정,안성기,허준호,김명수,신정근,조원희,이광희,박윤희,조주현,최만수,박보람,박성배,이승근,이연우,김진규,이기오,주부진,이정인,김용재,이영수,김서현,김강일,김명국,차순배,리우진,이람","(주)시네마서비스글로벌",525,90464,11.4285714285714
"신데렐라",3334168500,555582,181,14364,"2006-08-17","(주)쇼박스","15세관람가","공포(호러)","봉만대","도지원,신세경,김도연,조은미,나윤주,이기우,최기용,김인경,박민희,정유미,이승원,이충일,유다인,조성하","(주)미니필름",164,63524,10.3658536585366
"신부수업",4255753000,675521,113,9931,"2004-08-05","코리아픽쳐스(주)","12세관람가","드라마,멜로/로맨스","허인무","하지원,권상우,김도형,오대환,김유나,김선화,김인권,김인문,김미연,진이한,남진호,김도현,박경숙,이상현,김순옥,김지나,박효준,김일우,천우희,홍인","기획시대(주)",98,57962,15.3061224489796
