"영화명","누적매출액","누적관객수","스크린수","상영횟수","개봉일","배급사","등급","장르","감독","배우","제작사"
"고고 70",3865123500,595145,369,26844,2008-10-03,"(주)쇼박스","15세이상관람가","드라마","최호","곽선영,조승우,신민아,차승우,한송이,정영숙,유정호,이성훈,최은정,강경래,정현아,손경호,손대구,허성일,강명찬,신경아,김명기,조미영,홍석창,김혜정,김문영,김혜리,김효진,김형욱,홍유선,홍윤미,김희상,박유현,박은성,신용숙,신윤철,김형기,박인철,박정률,박준식,조정희,박진홍,남윤수,노재경,배태종,백승국,이동준,권혁일,강지훈,김고운,천정환,이병관,최정후,이병호,민혜진,박경선,김인규,최민규,유지훈,유진영,유하나,최민철,이희영,윤미연,임지희,박민수,임형진,장명진,전영호,정경애,윤정연,이성찬,정은선,박성용,최여진,이세현,오선화,박수경,박신영,이승수,김정교,김태훈,양진혁,김진수,이원정,유창숙,이현경,이종민,이지아,김은진,김민규,이지혜,조덕제,김종언,송지인,심영은,이종윤,이지혜,홍상진","(주)보경사"
"고령화 가족",8169492153,1141222,583,37524,2013-05-09,"(주)씨제이이엔엠","15세이상관람가","드라마,코미디","송해성","우혜진,박해일,윤제문,공효진,윤여정,진지희,이학렬,임승묵,임효우,정광호,정승환,김석영,최철수,홍진성,황유진,김해곤,문선영,박용수,선현철,송진영,이강진,양희경,이종현,김영재,이영진,이영진,강석철,유승목,김근영,오민애,한이진,신유람,박영서","(주)인벤트스톤"
"고死 : 피의 중간고사",10300791000,1634192,270,42719,2008-08-07,"에스케이텔레콤(주)","15세이상관람가","공포(호러),스릴러","창","이범수,남규리,김범,박우람,조기원,김형진,권현상,진성,백하나,이효연,윤정희,양지원,이도현,유신애,함은정,이얼,최배영,공정환,손여은","(주)코어콘텐츠미디어,(주)워터앤트리"
"고死 두 번째 이야기: 교생실습",5802318000,857038,313,23307,2010-07-28,"(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","공포(호러),스릴러","유선동","김수로,황정음,윤시윤,김민영,박지연,박은빈,강내균,강성용,권현상,윤승아,황병현,박영주,박진수,남보라,박혜연,김기철,이동희,지성한,김도연,유미나,이상진,최민선,전상호,박상아,최아진,이종원,이용녀,지창욱,김진황,김보미","(주)코어콘텐츠미디어"
"고산자, 대동여지도",7801007258,974262,765,38048,2016-09-07,"(주)씨제이이엔엠","전체관람가","사극","강우석","김율호,차승원,유준상,김인권,남지현,신동미,남경읍,태인호,공형진,김종수,이형길,임경욱,박선용,상훈,박정호,박진영,백동현,송민석,송원종,양해길,양희정,전수정,전호근,정명수,정봉연,정진근,노경섭,윤성민,윤준호,이덕형,이문형,이성원,이수민,이윤상,지동주,지현준,최은식,최한기,한명철,홍광표,홍대영,노남석,정준용,김기정,오희준,손성찬,정종열,곽수정,김시우,차청화,임용순,박기륭,박소영,추연규,여민구,이승철","(주)시네마서비스"
"고스트 메신저 극장판",184194000,23802,81,1211,2014-05-22,"에이원엔터테인먼트","12세이상관람가","애니메이션,SF,판타지","구봉회","양정화,박성태,은정,정재헌,박지윤,김호성","(주)스튜디오 애니멀"
"고양이: 죽음을 보는 두 개의 눈",4780632000,672340,304,18975,2011-07-07,"(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","공포(호러)","변승욱","김예론,김동욱,강경자,조석현,신다은,박진영,박민영,박상현,임경환,이철민,이한위,박현영,서이숙,이중옥,이장유,강기둥","파인하우스필름(주)"
"고지전",21968680600,2945151,585,53739,2011-07-20,"(주)쇼박스","15세이상관람가","드라마,전쟁","장훈","신하균,고수,이제훈,류승수,고창석,이다윗,류승룡,김옥빈,조진웅,정인기,강구현,강내균,송현석,조민철,조민호,홍서백,박영서,박재철,박종환,박주용,하성철,조형우,서수석,김경일,김상수,최민,윤민수,임재현,김준영,김지수,이주승,최정우,전국환,김강일,서현우,한이진","(주)티피에스컴퍼니"
"곡성",55864308382,6879989,1485,130332,2016-05-12,"이십세기폭스코리아(주)","15세이상관람가","미스터리,스릴러,드라마","나홍진","곽도원,황정민,쿠니무라 준,천우희,김환희,허진,장소연,김도윤,손강국,전배수,황석정,배용근,배용근,이인철,이용녀,선호삼,송민석,신재현,안수연,이선희,이수빈,이수진,권귀덕,이연,이연경,이연경,백승철,이정은,박성연,최교식,김기천,송훈,신정섭,김송일","(주)사이드미러,이십세기폭스 인터내셔널 프로덕션"
"곤지암",21444236144,2675883,1124,88553,2018-03-28,"(주)쇼박스","15세이상관람가","공포(호러),스릴러","정범식","위하준,박지현,오아연,문예원,박성훈,이승욱,류제윤,이주원,정아노마","(주)하이브미디어코프"
"골든슬럼버",11412768798,1387508,833,42991,2018-02-14,"(주)씨제이이엔엠","15세이상관람가","범죄,드라마","노동석","강동원,김의성,한효주,김성균,김대명,윤계상,이준혁,정소민,최우식,유재명,차순배,김시은,이강희,이경훈,이상원,박혜영,김재영,방한솔,이예림,김종호,손영진,신경철,이진구,이하늘,김지희,김지희,김진성,오기환,남은정,박다은,박서연,박성희,박시은,박은영,전한나,박정민,정신영,정연주,박지선,박지현,조영진,김건,최재호,최진호,최혜영,한대훈,황준혁,김소정,김수영,김우진,김승호,김유정,오륭,염혜란,박건아,노수산나,이학주,우상기,원현준,김승훈,김미경,윤부진,곽자형,이상희,윤재인,정인겸,김서원,정미형,황재열,조승구,이승민","영화사 집"
"공공의 적 2",20091127000,3134421,299,40642,2005-01-27,"(주)시네마서비스","15세관람가","드라마","강우석","설경구,정준호,유해진,강경덕,박웅,강신일,홍지연,전미애,박태수,남성훈,한재준,서영민,박상욱,최수경,이채은,이미도,변희봉,최정우,김강일,남문철,권태원,원근희","(주)시네마서비스"
"공모자들",12240964500,1646142,496,44959,2012-08-29,"씨너스엔터테인먼트(주),타임스토리그룹(주)","청소년관람불가","범죄,스릴러","김홍선","임창정,최다니엘,오달수,조윤희,조달환,정지윤,최일화,박일목,임향주,권태호,최은용,최지향,박승명,오상진,라미란,김재화,손종학,김규선,공정환,허준석","(주)영화사채움"
"공범",12333110882,1766285,611,51425,2013-10-24,"(주)씨제이이엔엠","15세이상관람가","스릴러,드라마","국동석","손예진,김갑수,임형준,이규한,조안,강신일,유원선,이선아,장루비,최단비,함채영,김광규,박사랑,임종윤,유지연,박지연,김승훈,정민성","선샤인필름(주)"
"공작",42795690816,4975517,1317,99122,2018-08-08,"(주)씨제이이엔엠","12세이상관람가","드라마","윤종빈","황정민,이성민,조진웅,주지훈,김대현,이경호,이기용,이동희,이상원,이상현,박현민,박혜영,김재희,이승찬,이승환,이승훈,이은영,김정현,이재우,이재혁,김정호,김종수,김지나,서주연,손승훈,이창석,이창훈,이희경,김지혜,김지홍,김진영,김현중,김형기,김형우,정재헌,박진영,강주석,정혜경,조현수,강민지,김다솜,김대현,김미혜,최운진,최지현,최희열,김소진,김수연,김은아,김승희,김영진,김영훈,김용석,김우영,김우현,주해은,한창현,양현민,정기섭,민무제,한성천,금새록,김응수,최병모,손성찬,홍기준,정소리,김규백,김규남,최정인,박경찬,곽자형,강덕중,류성현,감승민,김현,윤재인,권범택,설창희,김인우,양지수,곽진석,박혁민,염석무,엄지만,정종우,김도율,권유진,김종태,박진수","(주)영화사 월광,(주)사나이픽처스"
"공조",63783303326,7817654,1392,142991,2017-01-18,"(주)씨제이이엔엠","15세이상관람가","액션","김성훈","이재남,현빈,유해진,김주혁,장영남,이해영,임윤아,이동휘,박형수,서은지,신유철,공정환,김준한,신문성,엄효섭,홍인,임용순,엄지만,신현빈,김종태","(주)제이케이필름,(주)씨제이이엔엠,영화사 이창,(주)에이치비엔터테인먼트"
"공필두",958576600,160208,164,8269,2006-05-11,"(주)쇼박스","15세관람가","코미디","공정식","이문식,김수미,김유미,최여진,박성일,이순성,오호진,이광호,김정현,박정학,김뢰하,유태웅,김상호,박휘순,김형범,변희봉,이철민,정민성,이정민","(주)키다리필름"
"과속스캔들",53800771400,8223266,408,145555,2008-12-03,"롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","코미디","강형철","차태현,박보영,왕석현,임지규,황우슬혜,정원중,김기방,김혜진,노수정,류수경,김준호,문수진,김태형,김웅,이희상,임진순,김민채,김수완,박용준,정준영,정진희,정하린,김진,김준영,이준혁,성지루,김한국,고준,고준,박영서,박준하","(주)토일렛픽쳐스,(주)디씨지플러스"
"관능의 법칙",5858771500,781516,591,30630,2014-02-13,"롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가","드라마,코미디","권칠인","엄정화,문소리,조민수,이경영,이성민,이재윤,백동훈,전민혁,오상진,차수보,황정현,김용식,김재혁,김지은,조우진,최무성,진선규,권해효,곽자형","(주)명필름"
"관상",66009791500,9135802,1240,125105,2013-09-11,"(주)쇼박스","15세이상관람가","사극,드라마","한재림","송강호,이정재,백윤식,조정석,이종석,김혜수,신기원,윤종구,윤희원,이도엽,권영각,김길동,정준식,조훈휘,표유신,하정수,한만영,노준표,문혜진,박진우,전신환,김강현,유재명,김의성,정대용,김근영,서현우,이규형,이유준,김태우,윤경호,최교식,박기만,주광현","(주)주피터필름,(주)쇼박스"
"광대들: 풍문조작단",5228976088,637461,806,29048,2019-08-21,"워너브러더스 코리아(주)","12세이상관람가","사극","김주호","조진웅,손현주,박희순,고창석,최원영,김슬기,윤박,김민석,장남열,김희찬,최귀화,정인기,백수희,정윤하,정아미,이국주,박노식,강수호,강현구,강현구,박상훈,곽최산,곽자형,권지훈,권혁성,박영복,김건,서문호,서민우,박재완,김광현,김기석,서하영,선호삼,박준영,김남우,김니나,박지열,박찬규,배경민,김두현,김문수,김민서,김민석,신치영,신현승,심철민,심철민,유광수,유병선,유병선,엄옥란,유희제,김세별,윤성민,윤육,이상민,이종운,김장원,허성우,이준구,정한호,홍근택,김재홍,장한별,조미라,전수연,전정일,김순애,이찬희,이창준,김승찬,황윤성,이창범,조은주,김주경,최정현,김시호,조지현,정미남,강소백,김준석,김준모,강정혁,조혜인,최철민,최춘범,권예은,권홍석,김창겸,김낙균,채민지,채성원,김도담,김영준,천준호,이동희,김성용,정성훈,김수은,임정민,이확광,임수지,김영직,조규완,이민정,이우성,한상호,이운산,조신근,조은유,이병희,라희정,류경미,나호원,문재원,유해밀,차미경,정윤성,채종규,박귀순,신성일,천용현,최광제,이재빈,박성빈,심성효,안대현,안수호,최은선,장재권,최준서,엄윤아,장지용,박해용,배건하,엄혜수,전성호,오강율,전지수,서인성,오무용,서재희,송수근,백준선,홍원희,한재웅,서동진,최광덕","(주)영화사심플렉스"
"광식이 동생 광태",12811265009,2024818,276,35769,2005-11-23,"(주)엠케이픽처스","15세관람가","코미디","김현석","김주혁,봉태규,이요원,김아중,정경호,최은정,민도기,김성훈,김효주,김형민,유정민,박선민,이대연,박철민","(주)엠케이픽처스"
"광해, 왕이 된 남자",88907726769,12323291,1001,203428,2012-09-13,"(주)씨제이이엔엠","15세이상관람가","사극,드라마","추창민","이병헌,류승룡,한효주,장광,김인권,심은경,김명곤,서진원,장재현,정창국,조혜정,김남준,이수용,박윤호,김지수,박민규,박지아,송미정,양준모,원동연,김종구,주영호,이엘,전배수,이란희,최욱,이봉련,허성태,이양희,전국향,김승훈,권은수,승의열,김비비,한이진,이은정","리얼라이즈픽쳐스(주),(주)씨제이이엔엠"
"괴물",66715881300,10917195,647,113093,2006-07-27,"(주)쇼박스","12세관람가","SF,가족,드라마","봉준호","송강호,변희봉,박해일,배두나,고아성,오달수,박노식,라미란,고수희,윤제문,김뢰하,고창석,박진우,김학선,신현종,신승리,조덕제,조진영,김창렬,김병훈,이재응,이훈진,정강희,김대근,김효선,김종준,김다영,이왕우,유승목,손진호,권병길,손영순,정인기,최교식,이종윤,김비비,조영규","영화사청어람(주)"
